word,cross-reference,POS tag,,,,,,,,
Aachen,,, 1. Aix-la-Chapelle ,,,,,,,
Aal,,, 1. eel ,,,,,,,
Aalbutt,,, 1. plaice ,,,,,,,
Aaltierchen,,, 1. eelworm ,,,,,,,
Aas,,, 1. carrion , 2. carrion ,,,,,,
Aasfliege,,," 1. bluebottle, meat-fly ",,,,,,,
Abakus,,, 1. abacus ," 2. abacus, ball-frame, counting-frame ",,,,,,
Abart,,," 1. kind, saidort ",,,,,,,
Abbild,,," 1. figure, diagram, image, picture, representation ",,,,,,,
Abdruck,,, 1. copy , 2. printed matter ,,,,,,
Abend,,, 1. evening ,,,,,,,
Abenddämmerung,,, 1. evening twilight , 2. evening twilight ,,,,,,
Abendessen,,," 1. evening meal, supper ",,,,,,,
Abendland,,," 1. west, West ",,,,,,,
Abendmahl,,," 1. evening meal, supper ",,,,,,,
Abendzeitung,,, 1. evening paper ,,,,,,,
Abenteuer,,, 1. adventure ,,,,,,,
Abenteurer,,, 1. adventurer ,,,,,,,
Aberglaube,,, 1. superstition ,,,,,,,
Abessinien,,, 1. Abyssinia ,,,,,,,
Abessinier,,, 1. Abyssinian ,,,,,,,
Abfahrt,,, 1. departure ,,,,,,,
Abgabe,,, 1. tax , 2. delivery ,,,,,,
Abgang,,, 1. departure ,,,,,,,
Abgeordneter,,, 1. delegate ," 2. delegate, deputy, representative "," 3. delegate, deputy, representative ",,,,,
Abgott,,, 1. idol ,,,,,,,
Abgrund,,," 1. abyss, chasm, gulf, precipice ",,,,,,,
Abhandlung,,, 1. article , 2. treaty ,,,,,,
Abhang,,," 1. acclivity, hillside, slope ",,,,,,,
Abkomme,,," 1. child, offspring, young "," 2. offspring, successor ",,,,,,
Abkommen,,," 1. accord, accordance, agreement, concurrence ",,,,,,,
Abkunft,,, 1. lineage ," 2. clan, ethnic group, race, tribe ",,,,,,
Abkömmling,,," 1. child, offspring, young "," 2. offspring, successor ",,,,,,
Ablativ,,, 1. ablative ,,,,,,,
Ablaß,,, 1. indulgence , 2. indulgence ,,,,,,
Ableger,,," 1. child, offspring, young ", 2. layer ,,,,,,
Abnahme,,," 1. demand, sale ",,,,,,,
Abneigung,,," 1. aversion, dislike ",,,,,,,
Abnormalität,,, 1. abnormality ,,,,,,,
Abonnement,,, 1. subscription ,,,,,,,
Abordnung,,, 1. delegation ,,,,,,,
Abort,,, 1. toilet ,,,,,,,
Abreise,,, 1. departure ,,,,,,,
Abriß,,," 1. design, diagram, plan, plane ",,,,,,,
Absatz,,, 1. paragraph ," 2. demand, sale ", 3. heel ,,,,,
Abscheu,,," 1. abhorrence, abomination, horror ",,,,,,,
Abschied,,," 1. farewell, goodbye, good-bye ",,,,,,,
Abschrift,,, 1. copy ,,,,,,,
Absender,,, 1. sender ,,,,,,,
Absenker,,, 1. layer ,,,,,,,
Absicht,,," 1. intention, meaning, plan ",,,,,,,
Absinth,,, 1. absinth ,,,,,,,
Absolution,,, 1. absolution ,,,,,,,
Absolutismus,,, 1. absolutism ,,,,,,,
Abstammung,,, 1. lineage ,,,,,,,
Abstand,,," 1. distance, offset ",,,,,,,
Abstinenz,,," 1. abstention, abstinence ",,,,,,,
Abstinenzler,,," 1. teetotaller, total abstainer ",,,,,,,
Abstufung,,," 1. hue, nuance, shade, tint ",,,,,,,
Absud,,, 1. decoction ,,,,,,,
Abszeß,,, 1. abscess ,,,,,,,
Abt,,, 1. abbot ,,,,,,,
Abtei,,, 1. abbey ,,,,,,,
Abteil,,," 1. compartment, coupé ",,,,,,,
Abteilung,,," 1. separation, partition "," 2. branch, compartment, department, pigeonhole, section, speciality ", 3. detachment ,,,,,
Abtritt,,, 1. toilet ,,,,,,,
Abtrittsgrube,,, 1. latrine ,,,,,,,
Abwechslung,,, 1. alternation ," 2. about-face, alteration, change, conversion, transformation ",,,,,,
Abwehr,,," 1. defence, defense ",,,,,,,
Abweichung,,," 1. aberrance, aberration ",,,,,,,
Abwesenheit,,," 1. absence, non-attendance ", 2. absence ,,,,,,
Abzeichen,,, 1. emblem ," 2. character, mark, sign, signal, token ",,,,,,
Abzug,,, 1. departure ,,,,,,,
Acetat,,, 1. acetate ,,,,,,,
Achat,,, 1. agate ,,,,,,,
Acheron,,, 1. Acheron , 2. Acheron ,,,,,,
Achilles,,, 1. Achilles ,,,,,,,
Achse,,," 1. axis, axle ",,,,,,,
Achsel,,, 1. shoulder ,,,,,,,
Achselhöhle,,, 1. armpit ,,,,,,,
Achselklappe,,, 1. epaulet ,,,,,,,
Acht,,, 1. exile ,,,,,,,
Achtung,,," 1. acuity, advertence, advertency, attention "," 2. esteem, regard ", 3. respect ,,,,,
Achtung einflößen,,," 1. impress, strike ",,,,,,,
Achtung erweisen,,, 1. respect ,,,,,,,
Acker,,, 1. field , 2. acre ,,,,,,
Ackerbau,,," 1. agriculture, farming, tillage ",,,,,,,
Adagio,,, 1. adagio ,,,,,,,
Adam,,, 1. Adam ,,,,,,,
Adel,,, 1. nobility , 2. nobility ,,,,,,
Adeliger,,, 1. nobleman ,,,,,,,
Ader,,, 1. vein ,,,,,,,
Adjektiv,,, 1. adjective ,,,,,,,
Adjunkt,,, 1. assistant ,,,,,,,
Adjutant,,," 1. adjutant, aide-de-camp ",,,,,,,
Adler,,, 1. eagle ,,,,,,,
Admiral,,, 1. admiral ,,,,,,,
Admiralität,,, 1. admirality ,,,,,,,
Adoption,,, 1. adoption ,,,,,,,
Adressat,,, 1. addressee , 2. addressee ,,,,,,
Adresse,,, 1. address ,,,,,,,
Adria,,," 1. Adriatic, Adriatic Sea ",,,,,,,
Adriatisches Meer,,," 1. Adriatic, Adriatic Sea ",,,,,,,
Adscharien,,, 1. Adzharia ,,,,,,,
Advent,,, 1. advent ,,,,,,,
Adverb,,, 1. adverb ,,,,,,,
Aerolith,,, 1. meteoric stone ,,,,,,,
Affe,,," 1. ape, monkey ",,,,,,,
Affekt,,, 1. affection ,,,,,,,
Affiche,,," 1. notice, placard, poster ",,,,,,,
Affix,,, 1. affix ,,,,,,,
Afghane,,, 1. Afghan ,,,,,,,
Afghanistan,,, 1. Afghanistan ,,,,,,,
Afrika,,, 1. Africa ,,,,,,,
Afrikaander,,, 1. Afrikaans ,,,,,,,
Afrikander,,, 1. Afrikaans ,,,,,,,
Afrikaner,,, 1. African ,,,,,,,
After,,," 1. anus, arse "," 2. backside, rump ",,,,,,
Agape,,, 1. agape ,,,,,,,
Agenda,,," 1. agenda, appointment book ",,,,,,,
Agent,,, 1. agent ,,,,,,,
Agentur,,, 1. agency , 2. agency ,,,,,,
Aggregat,,, 1. aggregate ,,,,,,,
Agio,,, 1. premium ,,,,,,,
Aglei,,, 1. columbine ,,,,,,,
Agonie,,," 1. agony, death throes ",,,,,,,
Agraffe,,," 1. clasp, hook ",,,,,,,
Ahn,,, 1. forefather ,,,,,,,
Ahnenähnlichkeit,,," 1. atavism, throw-back ",,,,,,,
Ahnung,,, 1. presentiment ,,,,,,,
Ahorn,,," 1. maple, sycamore ",,,,,,,
Akademie,,, 1. academy ,,,,,,,
Akanthus,,, 1. acanthus ,,,,,,,
Akazie,,, 1. acacia ,,,,,,,
Akkord,,, 1. chord , 2. contract ,,,,,,
Akkumulator,,," 1. accumulator, battery, storage battery ",,,,,,,
Akkusativ,,, 1. accusative ,,,,,,,
